,date,symbol,rate
0,2022-01-01,AED,4.176782
1,2022-01-01,AFN,117.979297
2,2022-01-01,ALL,121.277018
3,2022-01-01,AMD,546.096265
4,2022-01-01,ANG,2.049808
5,2022-01-01,AOA,626.101357
6,2022-01-01,ARS,116.773434
7,2022-01-01,AUD,1.564485
8,2022-01-01,AWG,2.046862
9,2022-01-01,AZN,1.937662
10,2022-01-01,BAM,1.965137
11,2022-01-01,BBD,2.296476
12,2022-01-01,BDT,97.495932
13,2022-01-01,BGN,1.953969
14,2022-01-01,BHD,0.428655
15,2022-01-01,BIF,2278.270857
16,2022-01-01,BMD,1.137145
17,2022-01-01,BND,1.535298
18,2022-01-01,BOB,7.842413
19,2022-01-01,BRL,6.335383
20,2022-01-01,BSD,1.137387
21,2022-01-01,BTC,2.380531e-05
22,2022-01-01,BTN,84.571125
23,2022-01-01,BWP,13.373034
24,2022-01-01,BYN,2.908273
25,2022-01-01,BYR,22288.050307
26,2022-01-01,BZD,2.292658
27,2022-01-01,CAD,1.437255
28,2022-01-01,CDF,2277.138169
29,2022-01-01,CHF,1.03674
30,2022-01-01,CLF,0.035112
31,2022-01-01,CLP,968.848312
32,2022-01-01,CNY,7.227587
33,2022-01-01,COP,4622.871406
34,2022-01-01,CRC,730.147918
35,2022-01-01,CUC,1.137145
36,2022-01-01,CUP,30.134354
37,2022-01-01,CVE,110.587841
38,2022-01-01,CZK,24.871929
39,2022-01-01,DJF,202.093932
40,2022-01-01,DKK,7.435897
41,2022-01-01,DOP,65.243765
42,2022-01-01,DZD,157.842186
43,2022-01-01,EGP,17.864285
44,2022-01-01,ERN,17.05727
45,2022-01-01,ETB,55.891143
46,2022-01-01,EUR,1.0
47,2022-01-01,FJD,2.41587
48,2022-01-01,FKP,0.857839
49,2022-01-01,GBP,0.840369
50,2022-01-01,GEL,3.519511
51,2022-01-01,GGP,0.857839
52,2022-01-01,GHS,6.993888
53,2022-01-01,GIP,0.857839
54,2022-01-01,GMD,59.984864
55,2022-01-01,GNF,10603.881482
56,2022-01-01,GTQ,8.77767
57,2022-01-01,GYD,237.84642
58,2022-01-01,HKD,8.865304
59,2022-01-01,HNL,27.750716
60,2022-01-01,HRK,7.516973
61,2022-01-01,HTG,114.046113
62,2022-01-01,HUF,369.242932
63,2022-01-01,IDR,16195.225126
64,2022-01-01,ILS,3.53953
65,2022-01-01,IMP,0.857839
66,2022-01-01,INR,84.733311
67,2022-01-01,IQD,1660.232319
68,2022-01-01,IRR,48072.823194
69,2022-01-01,ISK,147.590544
70,2022-01-01,JEP,0.857839
71,2022-01-01,JMD,175.116336
72,2022-01-01,JOD,0.806468
73,2022-01-01,JPY,130.89458
74,2022-01-01,KES,128.668442
75,2022-01-01,KGS,96.434255
76,2022-01-01,KHR,4628.182274
77,2022-01-01,KMF,494.516161
78,2022-01-01,KPW,1023.430793
79,2022-01-01,KRW,1351.929888
80,2022-01-01,KWD,0.34401
81,2022-01-01,KYD,0.947789
82,2022-01-01,KZT,494.763156
83,2022-01-01,LAK,12718.971963
84,2022-01-01,LBP,1720.501423
85,2022-01-01,LKR,230.751407
86,2022-01-01,LRD,165.028274
87,2022-01-01,LSL,18.137903
88,2022-01-01,LTL,3.357695
89,2022-01-01,LVL,0.687848
90,2022-01-01,LYD,5.23515
91,2022-01-01,MAD,10.553142
92,2022-01-01,MDL,20.240156
93,2022-01-01,MGA,4508.782
94,2022-01-01,MKD,61.922417
95,2022-01-01,MMK,2022.309337
96,2022-01-01,MNT,3250.399028
97,2022-01-01,MOP,9.136089
