,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2022-01-01,4.176782,117.979297,121.277018,546.096265,2.049808,626.101357,116.773434,1.564485,2.046862,1.937662,1.965137,2.296476,97.495932,1.953969,0.428655,2278.270857,1.137145,1.535298,7.842413,6.335383,1.137387,2.380531e-05,84.571125,13.373034,2.908273,22288.050307,2.292658,1.437255,2277.138169,1.03674,0.035112,968.848312,7.227587,4622.871406,730.147918,1.137145,30.134354,110.587841,24.871929,202.093932,7.435897,65.243765,157.842186,17.864285,17.05727,55.891143,1.0,2.41587,0.857839,0.840369,3.519511,0.857839,6.993888,0.857839,59.984864,10603.881482,8.77767,237.84642,8.865304,27.750716,7.516973,114.046113,369.242932,16195.225126,3.53953,0.857839,84.733311,1660.232319,48072.823194,147.590544,0.857839,175.116336,0.806468,130.89458,128.668442,96.434255,4628.182274,494.516161,1023.430793,1351.929888,0.34401,0.947789,494.763156,12718.971963,1720.501423,230.751407,165.028274,18.137903,3.357695,0.687848,5.23515,10.553142,20.240156,4508.782,61.922417,2022.309337,3250.399028,9.136089,405.960721,49.57634,17.516294,925.636767,23.308415,4.749292,72.584422,18.137898,468.447486,40.259183,10.027286,135.313403,1.662009,0.437796,1.137387,4.536646,4.008481,57.994806,202.696598,4.588727,7825.297573,4.14039,4.947838,117.564035,85.04893,1154.202605,4.269042,9.203967,15.472979,497.505305,10.291223,1.533612,1.566309,12798.57213,664.093312,23.661765,23536.614386,9.952132,2857.069671,18.13789,37.747586,12.851765,3.99138,3.270207,2.586555,15.148032,7.725487,31.518378,2622.257729,31.030458,4031.995186,1.137145,50.746114,12303.913866,243156058810.96985,25989.458662,128.784736,2.956773,659.089986,0.048844,0.000622,3.073193,0.812663,658.979869,120.367257,284.571056,18.138658,10235.677475,18.94874,366.160363
2022-01-02,4.177235,117.993578,121.292102,546.164583,2.050064,626.17972,116.759289,1.565111,2.047118,1.93185,1.965383,2.296763,97.508129,1.954212,0.428708,2278.555872,1.137288,1.53549,7.843395,6.33617,1.137529,2.4020842e-05,84.581705,13.374707,2.908637,22290.838579,2.292945,1.439391,2277.400117,1.037297,0.035116,968.968953,7.228491,4623.449735,730.239261,1.137288,30.138124,110.601045,24.885904,202.119353,7.436895,65.25189,157.861932,17.862121,17.059404,55.897873,1.0,2.41617,0.857946,0.841081,3.519889,0.857946,6.994436,0.857946,59.99262,10605.207325,8.778768,237.876175,8.866465,27.748879,7.517105,114.06038,369.254583,16197.251176,3.537522,0.857946,84.743911,1660.440017,48078.836933,147.608988,0.857946,175.138243,0.806564,130.947869,128.684308,96.444304,4628.760578,494.577966,1023.558826,1352.098782,0.344053,0.947907,494.825052,12720.562839,1720.716355,230.780274,165.048879,18.139689,3.358115,0.687934,5.234601,10.554221,20.242688,4509.34627,61.930164,2022.562331,3250.805658,9.137232,406.011507,49.582542,17.516469,925.752017,23.30371,4.749879,72.59258,18.139948,468.506039,40.257419,10.004032,135.33033,1.662743,0.437851,1.137529,4.537212,4.008894,58.001869,202.721162,4.590381,7826.276531,4.14086,4.948805,117.578742,85.313656,1154.346998,4.271085,9.205118,15.474914,497.562015,10.288325,1.53353,1.566503,12800.172624,664.175979,23.664696,23539.558855,9.953377,2857.427095,18.140201,37.81494,12.853373,3.99188,3.270605,2.586872,15.299914,7.726454,31.522318,2622.585703,31.03434,4032.499595,1.137288,50.752463,12305.452199,243186478033.9399,25992.709986,128.800847,2.957142,659.172439,0.048827,0.000622,3.073577,0.812765,659.057648,120.382047,284.605769,18.156679,10236.956907,18.95111,366.20617
2022-01-03,4.15054,117.235943,120.060423,544.187906,2.037327,626.240367,116.341226,1.570112,2.034532,1.922689,1.946925,2.282411,96.982226,1.956391,0.425995,2265.613364,1.129982,1.526054,7.805572,6.421009,1.130455,2.4337142e-05,84.015433,13.2918,2.89038,22147.641862,2.278578,1.440868,2263.917394,1.037923,0.034883,962.511173,7.182274,4593.183626,725.670951,1.129982,29.944516,110.596988,24.814505,200.820674,7.437554,64.776189,157.233244,17.789983,16.949814,55.651207,1.0,2.404827,0.852434,0.838136,3.491931,0.852434,6.948785,0.852434,59.832639,10551.203911,8.723992,236.503521,8.811428,27.627895,7.520371,112.98772,367.114141,16170.038522,3.515588,0.852434,84.073748,1649.773322,47741.727963,147.62041,0.852434,173.994041,0.801174,130.330931,127.85714,95.827092,4604.675113,492.954556,1016.983467,1351.10844,0.341842,0.942012,491.720983,12661.445649,1707.199017,229.333954,164.694794,17.887957,3.336542,0.683515,5.215883,10.477755,20.087126,4480.377361,61.650827,2009.886516,3229.922428,9.079174,403.403282,49.25626,17.457903,920.935293,23.162028,4.714852,72.126811,17.898713,466.388542,39.973091,10.026413,134.428131,1.664541,0.435037,1.130455,4.480412,3.988328,58.129086,199.475408,4.576336,7767.943103,4.114254,4.948525,117.009285,84.079453,1148.061435,4.24244,9.138588,16.675468,494.3636,10.29221,1.529088,1.556433,12712.294093,659.909152,23.85953,23388.340338,9.891757,2839.070936,17.8992,37.600709,12.77288,3.954936,3.259979,2.56913,14.777787,7.686016,31.179582,2598.958252,30.840045,4007.271676,1.129982,50.546928,12246.173553,241624244057.02032,25825.732385,127.973428,2.938146,652.970466,0.049304,0.000626,3.053832,0.807706,653.688869,120.061188,282.778231,17.937892,10171.194552,18.841523,363.853655
2022-01-04,4.144514,118.362513,119.463303,544.201872,2.032711,624.456835,116.336834,1.558361,2.031018,1.916075,1.956321,2.277372,96.768007,1.955542,0.425398,2262.328562,1.128343,1.531259,7.776853,6.406278,1.127883,2.4600209e-05,83.96145,13.254429,2.909931,22115.531083,2.273471,1.433481,2262.328476,1.033822,0.034653,956.191991,7.170964,4603.979667,724.061873,1.128343,29.901101,110.747303,24.685959,200.528926,7.438261,64.766957,157.11166,17.749629,16.925239,55.683559,1.0,2.39468,0.851199,0.833908,3.492251,0.851199,6.978837,0.851199,59.519798,10296.133806,8.704586,235.869247,8.79414,27.610091,7.51646,111.428989,362.824494,16187.722495,3.481865,0.851199,84.101246,1647.381397,47700.718444,147.609526,0.851199,174.038572,0.79996,131.07171,127.649556,95.684469,4597.999549,492.014456,1015.508993,1351.192684,0.341629,0.939936,490.620192,12665.654853,1709.51279,228.827448,164.879209,18.064446,3.331704,0.682523,5.176638,10.468208,20.135458,4468.239784,61.596899,2005.421204,3225.239522,9.055535,402.818408,48.631502,17.433093,918.471313,23.172338,4.723228,72.022373,18.064353,465.712017,39.93223,10.001297,134.33872,1.656143,0.434437,1.127883,4.465421,3.977414,58.200041,199.379677,4.564544,7758.948929,4.108271,4.947332,117.56249,84.962009,1142.447715,4.237612,9.117964,15.471853,493.653047,10.266911,1.529751,1.554186,12705.147337,658.952775,24.04273,23354.430732,9.869479,2834.954706,18.064825,37.516854,12.739261,3.960485,3.253576,2.571835,15.139546,7.663225,31.06386,2595.190275,30.783632,3996.10376,1.128343,50.423783,12208.676075,241273924929.1376,25674.89041,127.787886,2.933886,656.133441,0.048935,0.000622,3.049405,0.805117,654.99515,119.745484,282.367813,18.096101,10156.445865,18.864138,363.326122
2022-01-05,4.155551,119.07439,120.943795,546.626133,2.039588,625.241974,116.644985,1.566636,2.036989,1.913529,1.95553,2.284918,97.071275,1.955989,0.42657,2270.046594,1.131346,1.53361,7.814118,6.45905,1.131661,2.6016505e-05,84.089925,13.345386,2.924951,22174.389852,2.281169,1.443541,2268.348998,1.037931,0.03438,948.6561,7.190854,4557.821386,726.490008,1.131346,29.98068,110.475612,24.635749,201.062586,7.439847,64.833294,157.359186,17.780251,16.970285,55.831912,1.0,2.404121,0.853464,0.834537,3.501567,0.853464,6.986043,0.853464,59.734804,10295.252187,8.736573,236.762164,8.819128,27.678349,7.521185,115.453184,362.379444,16296.875493,3.503112,0.853464,84.20651,1651.765775,47799.385882,146.825955,0.853464,174.179118,0.802106,131.375908,128.012228,95.941698,4611.367338,491.350257,1018.211691,1357.898445,0.342311,0.943122,492.810034,12716.334043,1709.534261,228.602744,165.30349,17.965526,3.340572,0.68434,5.205916,10.467781,20.201501,4485.78864,61.63251,2012.156339,3233.823247,9.085385,403.890478,48.759719,17.478895,922.04788,23.279348,4.744302,72.214141,17.97142,467.024997,40.053545,10.013891,134.5436,1.665291,0.435577,1.131661,4.481827,3.994032,58.196361,199.852608,4.573916,7806.422778,4.119254,4.947037,117.602987,86.770423,1145.488251,4.249307,9.142266,16.806432,494.961972,10.309169,1.536146,1.558319,12750.274147,662.968813,24.143495,23416.586736,9.902131,2842.499718,17.965471,37.616706,12.787925,3.959712,3.253192,2.576924,15.495032,7.694343,31.238062,2602.096998,31.082931,4005.925073,1.131346,50.506796,12235.511533,241916056747.52905,25749.444542,128.127984,2.941694,655.83319,0.049655,0.000625,3.05752,0.810347,655.616678,119.413738,283.119082,17.981505,10183.461167,18.97317,364.293086
2022-01-06,4.149473,118.617587,121.27254,545.684537,2.036118,623.251886,116.616495,1.577029,2.033445,1.921349,1.953145,2.281184,97.133006,1.954707,0.425914,2267.291283,1.129692,1.536409,7.789858,6.42105,1.129757,2.6181393e-05,84.087827,13.213848,2.926077,22141.957721,2.277289,1.437815,2267.291305,1.040847,0.034292,946.252333,7.210821,4555.67391,725.518864,1.129692,29.936831,109.297541,24.519509,200.768994,7.439641,65.014223,157.418076,17.753331,16.945464,55.696135,1.0,2.41087,0.852216,0.834712,3.490731,0.852216,6.964535,0.852216,59.732435,10280.194533,8.721731,236.437002,8.812522,27.654651,7.521148,112.951696,360.360515,16288.460071,3.519317,0.852216,84.07115,1648.22022,47757.71715,146.419547,0.852216,174.324854,0.80096,130.886644,127.938025,95.794418,4603.493429,490.623745,1016.722461,1362.300934,0.341924,0.941514,491.959222,12697.735376,1707.037679,228.213915,165.641081,17.758771,3.335686,0.68334,5.190915,10.486366,20.222894,4470.189901,61.617003,2008.734173,3229.093476,9.078298,403.29975,49.356067,17.46464,921.828036,23.165569,4.759464,72.10788,17.747398,466.607996,39.994824,10.047828,134.539014,1.675853,0.434916,1.129757,4.482055,3.982155,58.297705,200.070877,4.555165,7837.093693,4.113174,4.943646,117.612263,86.295681,1146.637096,4.241206,9.136278,16.926625,494.236612,10.334612,1.537396,1.556035,12799.407674,661.999728,24.019488,23382.337775,9.885495,2838.342295,17.747632,37.917538,12.760642,3.965218,3.255204,2.57253,15.585001,7.681506,31.207764,2598.29064,31.061791,4002.760936,1.129692,50.551941,12217.6161,241562231755.21188,25700.48664,127.940584,2.937392,654.937639,0.050898,0.000631,3.053048,0.807343,655.7784,119.611612,282.422594,17.76046,10168.571942,18.951774,363.760273
2022-01-07,4.173197,119.298209,121.570547,549.665372,2.047789,625.947599,117.357535,1.582288,2.045673,1.935999,1.965899,2.294251,97.642373,1.959478,0.428383,2280.860133,1.136169,1.544276,7.82317,6.403228,1.13622,2.7343773e-05,84.430594,13.250871,2.941466,22268.920848,2.290331,1.436135,2280.292459,1.044015,0.034106,941.100951,7.246152,4602.099727,729.677389,1.136169,30.10849,110.780947,24.442304,201.920479,7.438859,65.500614,158.498846,17.856348,17.04263,56.02496,1.0,2.433721,0.857102,0.835726,3.51649,0.857102,7.00453,0.857102,59.994124,10333.461379,8.77193,237.727635,8.859475,27.79643,7.520992,113.600861,358.694415,16268.52604,3.5394,0.857102,84.607754,1658.807369,48003.15886,146.168636,0.857102,175.48035,0.805589,131.360546,128.671625,96.351487,4629.89083,492.533762,1022.5524,1360.739045,0.343862,0.946858,494.784272,12793.26819,1720.160915,230.513613,167.158972,17.770123,3.354813,0.687258,5.230657,10.521361,20.321989,4493.550494,61.932215,2020.225692,3247.609265,9.128455,405.612291,49.656531,17.554248,928.822758,23.16809,4.782181,72.522124,17.764053,469.476999,40.595762,10.042403,135.08895,1.675792,0.437438,1.13622,4.492986,4.011104,58.323671,201.102378,4.545742,7901.772679,4.136837,4.945182,117.587899,85.724408,1154.348142,4.264837,9.18863,15.763767,497.078305,10.318532,1.542555,1.564964,12878.480885,663.523332,24.164095,23516.413305,9.941922,2854.617496,17.764052,38.209798,12.834036,3.976593,3.273347,2.595583,15.764394,7.712604,31.418536,2622.279428,31.24182,4028.031475,1.136169,50.842414,12281.991929,242947362044.38968,25779.684389,128.674202,2.954235,659.31951,0.05079,0.000632,3.070555,0.812544,658.414278,119.894322,284.326814,17.708047,10226.892365,19.151694,365.846093
2022-01-08,4.173269,118.735616,121.505981,546.921932,2.037568,625.947599,116.71065,1.582629,2.045673,1.935999,1.956087,2.2828,97.157178,1.959529,0.428356,2255.466643,1.136169,1.536602,7.784124,6.403228,1.130549,2.7241823e-05,84.011049,13.184734,2.926785,22268.920848,2.2789,1.43676,2280.292459,1.043688,0.034223,944.324199,7.246152,4561.399923,726.035489,1.136169,30.10849,110.279504,24.441323,201.276472,7.44045,64.861531,158.498846,17.856348,17.04263,56.088577,1.0,2.424704,0.857102,0.836126,3.51649,0.857102,6.99212,0.857102,59.994124,10322.257601,8.728148,236.54111,8.860043,27.759651,7.520992,113.033866,358.762586,16268.52604,3.5394,0.857102,84.39183,1650.127028,48003.15886,146.168636,0.857102,174.602964,0.805589,131.327597,128.095747,96.351487,4607.105935,492.533762,1022.5524,1360.625428,0.343862,0.942124,492.31475,12719.172848,1709.724866,229.368167,167.158972,17.770123,3.354813,0.687258,5.199984,10.497081,20.220559,4496.921443,61.623105,2010.186983,3247.609265,9.083095,405.612291,49.656531,17.554248,923.012396,23.15491,4.782181,72.522124,17.764053,469.476999,40.028265,10.04513,134.417679,1.675149,0.437438,1.130549,4.48839,3.970522,58.323671,199.66196,4.545373,7862.334068,4.136837,4.945296,117.596466,85.724408,1173.154295,4.265341,9.18863,17.024406,497.078305,10.316924,1.540055,1.564964,12878.480885,663.523332,24.164095,23516.413305,9.892301,2854.617496,17.659823,38.187074,12.76998,3.976593,3.273347,2.595583,15.763787,7.674109,31.418536,2609.403193,31.085888,4007.92713,1.136169,50.588654,12230.768612,242947362044.38968,25779.684389,128.674202,2.954235,656.043284,0.05079,0.000632,3.070555,0.808506,656.043284,119.894322,284.326814,17.715726,10226.892365,19.056106,365.846093
2022-01-09,4.170078,118.647376,121.415682,546.51548,2.036054,625.482404,116.689654,1.581563,2.044153,1.927134,1.954634,2.281104,97.084975,1.958072,0.428038,2253.790464,1.135325,1.53546,7.778339,6.39847,1.129709,2.7115632e-05,83.948615,13.174936,2.92461,22252.37141,2.277206,1.435919,2278.597773,1.043296,0.034198,943.622412,7.240761,4558.01006,725.495927,1.135325,30.086114,110.197549,24.427371,201.126891,7.438934,64.813328,158.381056,17.853136,17.029965,56.046894,1.0,2.422895,0.856465,0.83536,3.513812,0.856465,6.986923,0.856465,59.940555,10314.586482,8.721662,236.365322,8.853475,27.739021,7.5154,112.949864,358.972727,16256.435874,3.536333,0.856465,84.329105,1648.900714,47967.484583,146.059864,0.856465,174.473206,0.804928,131.274796,128.000551,96.273377,4603.682104,492.16134,1021.792477,1359.614185,0.343606,0.941424,491.94888,12709.72043,1708.454262,229.197709,167.03471,17.7565,3.35232,0.686747,5.196119,10.48928,20.205532,4493.579498,61.577309,2008.693087,3245.195762,9.076344,405.310855,49.619628,17.540982,922.326448,23.154955,4.778627,72.46796,17.750774,469.127798,39.998517,10.035859,134.317785,1.675785,0.437112,1.129709,4.485055,3.967571,58.280327,199.513579,4.545335,7856.491072,4.133678,4.947181,117.509073,85.685084,1172.28245,4.261553,9.181801,17.011685,496.701705,10.282878,1.539813,1.5638,12868.909727,663.029615,24.146151,23498.936777,9.884949,2852.49605,17.646699,38.218428,12.760489,3.973638,3.27084,2.593653,15.755476,7.668406,31.395183,2607.463981,31.062787,4004.948587,1.135325,50.551058,12221.679158,242766812561.3193,25760.525883,128.578576,2.952039,655.555737,0.050767,0.000632,3.068273,0.807905,655.555737,119.8052,284.11505,17.69428,10219.293854,19.041945,365.57421
2022-01-10,4.162096,119.548141,121.75612,547.884918,2.041804,623.469827,117.226569,1.578091,2.039653,1.925468,1.956936,2.287489,97.403278,1.956577,0.427213,2275.912964,1.133141,1.535282,7.811493,6.417542,1.132891,2.7078446e-05,83.92063,13.188947,2.924428,22209.556436,2.284191,1.435219,2274.213448,1.050705,0.034315,946.826758,7.224788,4589.264895,727.54081,1.133141,30.028227,111.162715,24.354613,201.381983,7.439748,65.388604,158.264633,17.823964,16.997198,55.975161,1.0,2.414553,0.854817,0.834431,3.501298,0.854817,7.008477,0.854817,59.914804,10294.58254,8.743314,237.02171,8.832973,27.727736,7.526094,115.191711,358.797277,16192.749638,3.55592,0.854817,83.917279,1654.951897,47903.520254,146.412803,0.854817,175.127373,0.803511,130.634106,128.441769,96.087697,4617.548058,493.483513,1019.826483,1357.678097,0.342922,0.944125,493.434615,12769.362073,1711.756274,229.842235,167.846489,17.433399,3.345869,0.685425,5.22382,10.50983,20.336118,4487.236717,61.635976,2014.768693,3238.951799,9.099022,404.531012,49.745928,17.518755,925.199361,23.083361,4.763955,72.328125,17.824223,468.712245,40.413507,10.039722,134.301744,1.674794,0.436236,1.132991,4.456626,3.994282,58.475731,200.282224,4.542443,7870.713319,4.125748,4.945482,117.608853,84.91874,1152.970596,4.25367,9.156729,17.001235,495.7535,10.312384,1.536423,1.560786,12855.480702,664.020114,24.075812,23453.723332,9.915606,2847.007666,17.824067,38.106379,12.799123,3.977324,3.268005,2.588037,15.643018,7.690051,31.290427,2606.223843,31.144933,4000.026162,1.133141,50.692476,12294.576079,242299713817.67664,25722.292403,128.331183,2.946359,656.301985,0.050379,0.000629,3.062369,0.810426,655.520528,119.94257,283.568961,17.771707,10199.621317,19.162033,364.870822
